StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
19	19	0.0	
26	7	0.0	
33	7	0.3026582598686218	
50	17	0.7781957153601456	
75	25	0.9078697955795656	
94	18	2.2912940457817856	
113	19	3.1990018636030153	
131	17	3.804158463708689	
150	19	6.657688296236883	
169	19	9.294361026648673	
190	21	10.33184638459936	
209	19	13.357372447505995	
231	22	14.43845345536161	
249	18	19.107640523182997	
271	22	22.739239833783984	
291	20	24.03530651877569	
310	18	28.27297076112091	
329	19	31.64473597614253	
350	21	32.72638787585381	
370	20	36.35519629285738	
391	21	38.51987840075598	
412	21	39.206108439926176	
430	18	41.24201061018043	
452	22	42.54075982185542	
471	19	42.929736117500646	
490	19	43.963975147192045	
511	20	44.22619470003445	
531	20	45.1765003995526	
554	23	45.82727995531585	
571	17	46.04254092460105	
594	23	46.73316831816696	
611	17	46.99291695378633	
631	20	47.07769948825772	
652	21	47.42554663136668	
674	22	47.72871640858614	
693	19	47.858403799426554	
712	19	47.945639896617394	
732	20	47.98969085437875	
752	20	48.20533536796309	
772	20	48.42059978450023	
794	22	48.423615779719135	
812	18	48.59663175027933	
831	19	48.637917761294126	
852	21	48.68102327135818	
872	20	48.85357229270842	
890	18	48.98438816127018	
911	20	48.940698933746184	
934	22	49.02706643391515	
952	18	49.11356601735514	
971	19	49.15838958970852	
992	21	49.24301644613332	
1013	21	49.24385264403443	
1032	19	49.28735299411887	
1050	18	49.331850680871206	
1070	20	49.37490668841255	
1089	19	49.32965283222416	
1111	22	49.331642552381005	
1132	20	49.330469881766604	
1149	17	49.33021457915575	
1173	24	49.28782007568811	
1191	17	49.28659502723233	
1210	19	49.372934571311525	
1230	20	49.33032623722998	
1253	23	49.24236820086198	
1273	20	49.24454042789551	
1289	16	49.245781321434805	
1311	22	49.28896591758711	
1330	19	49.331445021214385	
1351	21	49.33117200189507	
1370	19	49.328970269186094	
1391	21	49.33093190036916	
1409	18	49.333202557907796	
1430	21	49.41761863743135	
1452	22	49.417666532649264	
1469	17	49.41851174217585	
1490	20	49.50387165439493	
1510	20	49.46096462590792	
1531	21	49.461822207994565	
1549	18	49.37565225132766	
1569	20	49.375423083663065	
1589	20	49.4181804619263	
1609	20	49.417792826135425	
1632	23	49.4163238384621	
1652	20	49.329735359313254	
1671	19	49.288423498635055	
1693	22	49.288926725760795	
1710	17	49.28766664048538	
1730	20	49.28809470316362	
1749	19	49.20202191451684	
1771	22	49.20243540535269	
1790	19	49.20154282224534	
1809	19	49.15895779199606	
1831	22	49.02812339810389	
1851	20	49.028988176193096	
1873	22	48.94228185475745	
1891	18	48.942558114495654	
1911	20	48.94152141755451	
1932	21	48.942625615021285	
1952	20	48.855463903974666	
1973	21	48.85643171365494	
1992	19	48.812135107822066	
2008	16	48.812867447120766	
2032	23	48.812661492573156	
2049	16	48.811940304934126	
2071	22	48.85536526048391	
2089	18	48.856200192842905	
2112	22	48.89923604907455	
2129	17	48.94261257313049	
2152	22	48.940678298448	
2171	18	48.94286821761138	
2189	18	48.89831644096666	
2209	19	48.94101937114862	
2231	22	48.985339336588304	
2252	21	48.986051290448586	
2270	18	48.94156486759496	
2290	20	48.94170373330098	
2310	20	48.94108832052025	
2331	21	48.89793903339259	
2350	19	48.941570749274774	
2374	23	48.89883807075259	
2390	16	48.89945723247298	
2410	20	48.89954389380043	
2429	18	48.81298219980502	
2449	20	48.81184195328391	
2472	23	48.768849148289746	
2489	17	48.81299540358656	
2510	20	48.81112909795802	
2530	19	48.7691841297476	
2552	22	48.72671008326727	
2571	19	48.77021433701617	
2589	18	48.68390574628662	
2611	22	48.725099627322024	
2631	20	48.68218347444045	
2650	19	48.72173793688182	
2670	20	48.72477457527507	
2690	20	48.72492209251543	
2710	20	48.72574573971944	
2732	22	48.72439614353953	
2750	18	48.595017716527934	
2770	20	48.596260062469696	
2788	18	48.639054722935484	
2810	21	48.553204628416665	
2830	20	48.682369577171826	
2851	21	48.68269287515158	
2871	20	48.640778651238	
2891	20	48.683437019587025	
2909	18	48.682460028239475	
2932	22	48.76976438661547	
2950	18	48.76973361142019	
2972	22	48.81285003902466	
2990	18	48.942835068084335	
3010	20	48.94338885174023	
3032	22	48.94283857892048	
3049	16	49.07219198202416	
3070	21	49.07306307645859	
3089	18	49.072622541481365	
3116	27	49.115410649677045	
3130	14	49.11532374797944	
3150	20	49.15900230722149	
3170	20	49.11486314811432	
3191	21	49.11540582374414	
3210	18	49.1164449096261	
3229	19	49.11535158373886	
3250	21	49.158944899030175	
3270	20	49.20223575548183	
3290	20	49.15749139731262	
3308	18	49.15853497411689	
3329	21	49.15854654893327	
3350	21	49.201190243288316	
3369	19	49.20123646396312	
3389	20	49.11456668264328	
3408	19	49.15801464824156	
3432	23	49.28939986918679	
3450	18	49.28869040158919	
3469	19	49.245077079181804	
3490	20	49.24413714266929	
3509	19	49.24582033453318	
3529	20	49.331013428007616	
3552	23	49.3317736584807	
3569	16	49.33177029099626	
