StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
21	21	0.0	
28	7	0.17294757068157196	
36	8	0.172947570681572	
43	6	0.216183341369646	
61	17	0.9511379098094462	
79	17	1.9021424422615973	
97	17	2.809913013880769	
119	21	4.020015020890159	
140	21	7.175429034744045	
159	19	9.206931477703218	
180	20	12.88058506995562	
201	21	17.720859967735553	
220	18	21.6569251710314	
240	20	24.637100221742234	
262	22	28.87228907419805	
281	19	34.36217605342287	
303	22	40.28279134460891	
320	17	44.256852797298386	
340	20	48.27749941438368	
360	20	55.79804190666285	
381	20	59.30484096427875	
401	19	63.065956938013876	
421	19	69.20714645644595	
443	21	69.55430998984093	
459	16	74.5636598261807	
482	23	76.46807923798404	
500	18	79.19501850146479	
522	21	83.16657334989605	
541	19	83.64451871489211	
561	20	87.96959261664337	
582	21	90.16882906578063	
600	18	91.55108522739981	
621	21	93.676326313868	
643	22	95.44745478757476	
661	18	96.44167613162323	
683	22	97.44005178330193	
700	17	99.29591225178845	
721	21	99.9869609767895	
741	19	100.80760681951935	
760	19	101.28848057480138	
779	19	102.28096209872598	
802	23	103.48971836953976	
823	21	104.05499163609656	
839	16	104.57566319191443	
863	23	105.48352590947624	
882	19	105.78215633656525	
903	21	106.3925330256451	
920	17	106.99702883676478	
942	22	107.344759878695	
960	17	107.51387079075315	
979	19	107.68837773358716	
998	19	108.15896885890092	
1022	23	108.42300797085272	
1040	17	108.46266632866731	
1061	21	108.72602003231867	
1078	17	108.90369487856036	
1100	21	108.94245774114985	
1119	18	109.28742944941499	
1141	22	109.54569165459348	
1160	19	109.54183150260529	
1180	20	109.93347501987233	
1202	22	110.28700166831077	
1220	18	110.28392466938851	
1239	19	110.49419450593389	
1263	24	110.62454044780495	
1281	18	110.88277416688358	
1299	18	110.9752023970632	
1321	21	111.14837660021456	
1341	20	111.27309154523036	
1362	21	111.35478438712099	
1382	19	111.40490614869029	
1400	18	111.4931517044101	
1419	19	111.53636909935423	
1441	22	111.49421178295765	
1462	21	111.61889667928261	
1481	19	111.7068895363996	
1501	20	111.74645528978017	
1520	19	111.7970596754528	
1542	22	111.79583249145807	
1561	19	112.01073095704555	
1580	19	112.05513382863172	
1601	21	112.1854164871377	
1619	17	112.22024573205043	
1642	23	112.3117650180209	
1660	18	112.31614683899551	
1680	20	112.40041622305672	
1702	22	112.40007794178956	
1722	20	112.31393390002091	
1740	18	112.39440492285567	
1761	21	112.52442049045885	
1781	20	112.65875178404845	
1802	21	112.74325853059999	
1820	18	112.74282002126218	
1841	21	113.00464434703156	
1864	23	113.08808598386341	
1881	16	113.08916781089185	
1900	19	113.22284733087258	
1919	19	113.30484044482546	
1940	21	113.35439284082604	
1958	18	113.43995314737695	
1979	21	113.48403466835167	
2003	24	113.48197015998453	
2019	16	113.43937831416368	
2041	21	113.48076755091837	
2061	20	113.52453476685902	
2080	19	113.39162196505363	
2100	20	113.4387278127181	
2120	20	113.35050267094441	
2139	19	113.35229698122527	
2158	19	113.3921809538082	
2181	23	113.47700392827794	
2200	19	113.44142826963972	
2218	18	113.43791059982405	
2238	19	113.4375076464081	
2261	23	113.43861276196789	
2283	21	113.39780434445873	
2300	17	113.39284851788115	
2320	20	113.44019736185399	
2341	21	113.48497414960416	
2360	19	113.53081659164971	
2381	20	113.61405426077592	
2399	18	113.65438905908108	
2422	23	113.61804441150112	
2439	17	113.66404833968963	
2460	20	113.66364161252416	
2479	19	113.61450474387887	
2500	21	113.61958681066794	
2520	20	113.70367764236327	
2539	19	113.70246885734889	
2560	20	113.74683238797692	
2580	20	113.70476792005697	
2602	22	113.6170868062455	
2623	21	113.70355100376355	
2640	17	113.52859891987556	
2661	21	113.52875214233183	
2680	19	113.57502922239617	
2700	20	113.48215504302703	
2720	20	113.53101353825087	
2740	19	113.48480911426928	
2759	19	113.44489164432787	
2781	22	113.48568089880897	
2805	24	113.48404028144739	
2822	17	113.53140261639572	
2840	18	113.53023375016403	
2863	23	113.48557527202453	
2883	20	113.53059106692277	
2901	18	113.57041609665384	
2920	19	113.61632791040311	
2941	21	113.65623749580186	
2961	20	113.70105946753552	
2981	20	113.78980628394699	
3001	20	113.91600587428665	
3020	19	113.96262040874676	
3040	20	113.91771668210846	
3059	18	114.00582186247722	
3078	19	114.04419659862808	
3100	22	114.04766390742047	
3120	20	114.17889260782404	
3140	20	114.26376532231372	
3160	19	114.26476754950168	
3179	18	114.30613334528938	
3198	18	114.26415528315039	
3220	22	114.26247774889478	
3239	19	114.09166455536653	
3261	21	114.09026568336827	
3281	20	113.95892481916101	
3299	17	114.00474132519085	
3321	22	114.0019294763364	
3339	17	113.9141994790248	
3360	21	113.82686817589484	
3379	18	113.78195320391671	
3399	20	113.52646243256007	
3421	21	113.48485742676088	
3439	17	113.47625384501171	
3461	21	113.35988606399188	
3479	18	113.26707579908309	
3502	23	113.21924095103878	
3520	18	113.18257208770189	
3541	21	113.10086385452746	
3561	20	112.96738743761507	
3582	20	112.88399479739134	
3600	18	112.79657143355885	
3622	21	112.84109257255406	
3641	19	112.9292180793999	
3660	18	112.92614944754273	
3680	20	112.92832618311175	
3700	20	113.05848696384406	
3722	22	113.18580323269364	
3741	19	113.18330008113753	
3759	18	113.22533923984436	
3779	20	113.22214110991844	
3798	19	113.26930081438061	
3820	21	113.30598311067217	
3838	18	113.30318396956072	
3859	20	113.2242072770351	
3879	20	113.18301246316156	
3900	20	113.09330228209362	
3921	21	113.01034664986742	
3939	18	112.9576867636173	
3959	19	112.92125874656476	
3980	21	112.83691802465663	
3999	18	112.86430656370317	
4020	20	112.87462011959049	
