StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
20	20	0.0	
28	8	0.0	
37	9	0.1297083770046346	
58	21	0.34587809314397555	
69	11	0.8214912231409642	
90	21	1.0809079417731449	
110	20	1.9456390149187615	
130	20	2.723905249574899	
149	19	3.069795752767359	
169	20	4.453379747726895	
188	19	5.620693873107431	
208	19	6.009842435431387	
231	23	7.177288549788619	
250	18	7.652683158642863	
270	20	9.382220510644057	
291	21	10.41997060108016	
311	20	10.80904886123423	
330	19	11.933312673249972	
349	19	12.711486970078859	
370	21	12.884421827831137	
388	18	13.662667252461052	
409	20	14.09505305586249	
432	23	14.181444756874837	
452	20	14.527374495401219	
468	15	14.786638849586092	
487	19	14.830043144920134	
507	19	14.916572190871094	
529	22	14.959943631092479	
548	18	15.132582441319284	
571	23	15.176017272244989	
590	18	15.17606614791236	
612	22	15.262445934262736	
629	16	15.262488974243118	
654	25	15.262551848120367	
670	16	15.262374894380153	
693	23	15.262538649861334	
711	18	15.262542453980393	
729	18	15.262529841830931	
749	20	15.26252051332071	
768	19	15.305751119250047	
793	25	15.305812879239507	
812	19	15.262560294256843	
829	17	15.305735764278097	
853	24	15.348771200548262	
873	20	15.349000454306815	
893	20	15.392247563816236	
909	16	15.392223307645526	
929	20	15.392162689803627	
949	20	15.392260932370512	
973	24	15.392114391294047	
989	16	15.34882941774639	
1011	22	15.348887473901115	
1028	17	15.392155231316806	
1048	20	15.435439602088573	
1073	25	15.392238182640686	
1093	20	15.39230374649113	
1109	16	15.391910816726346	
1129	20	15.392233876353266	
1153	24	15.349011172126126	
1168	15	15.39223353766111	
1189	21	15.392132647403225	
1208	19	15.392211258292475	
1227	19	15.435421447445743	
1252	25	15.4354540137634	
1269	17	15.478705151114346	
1292	22	15.435277758431766	
1308	15	15.478520318881646	
1328	20	15.478636953030309	
1353	25	15.521979395965465	
1372	19	15.52139468813881	
1388	16	15.521892476191999	
1410	22	15.521838390121362	
1428	18	15.565196254454008	
1454	26	15.565226006454578	
1469	14	15.565204720412574	
1491	22	15.565174533761708	
1508	17	15.478504566871257	
1528	20	15.521242043729774	
1554	25	15.521986220842283	
1570	16	15.521893305238963	
1589	19	15.565069095030914	
1611	22	15.52179792268709	
1628	17	15.521984951586713	
1648	20	15.522013800125512	
1670	21	15.521954351909296	
1688	18	15.565178773988173	
1709	21	15.56517198858631	
1728	19	15.60843829382785	
1748	20	15.608349508032783	
1770	22	15.608436482661029	
1789	19	15.565128614625394	
1809	20	15.565019128348483	
1829	19	15.651693496581302	
1850	21	15.608361827086348	
1870	20	15.608419644241927	
1891	21	15.608398723146987	
1907	16	15.60844991174182	
1933	25	15.608426286429838	
1953	20	15.565098810730444	
1969	16	15.478720841124286	
1990	21	15.478689686473064	
2008	18	15.521829554810438	
2029	21	15.478753380877494	
2050	21	15.478687906894708	
2072	22	15.435461132877048	
2087	15	15.435363169893161	
2108	21	15.478671369211382	
2127	19	15.478684410482398	
2151	24	15.478686693025884	
2169	18	15.4354649891178	
2190	21	15.435544542834894	
2208	18	15.435503772955572	
2230	21	15.43535718253603	
2248	18	15.478622433143086	
2269	21	15.435432004335594	
2289	20	15.521104304087343	
2311	22	15.521941924094193	
2327	16	15.478557328015127	
2348	21	15.43539783556324	
2368	20	15.435399139918076	
2390	22	15.435432207504645	
2411	21	15.435217825903319	
2428	17	15.478484635910768	
2447	18	15.478530208102052	
