StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
7	6	0.0	
16	9	0.0	
35	19	0.0	
54	19	0.4755598399100609	
73	19	1.2105108112604763	
94	21	1.5563015508490274	
115	21	2.7234120161966504	
136	21	5.014360225736951	
156	20	5.7921733579321355	
172	16	8.34213241665451	
193	21	12.621302055599621	
213	20	14.004845944453283	
235	22	18.111177912911206	
253	18	24.33583398495337	
277	24	26.109113747510825	
294	17	30.86546109796833	
312	17	32.42190519072539	
337	24	37.653322904879666	
357	20	44.005949542545146	
376	19	45.646937918104655	
395	19	50.10177673175169	
414	19	55.333188032627014	
432	18	56.503547307386135	
451	18	59.96146434264253	
473	21	63.46542328392626	
492	19	64.28536281775105	
513	20	66.53549730052202	
533	19	67.13978831464274	
552	19	68.82870899017635	
573	21	70.8131789665044	
593	19	71.24678670427258	
614	21	72.45569648703955	
634	20	73.75403608234782	
652	18	74.0579954943214	
674	21	74.83481757790052	
694	19	75.78801058735696	
714	20	75.95730076699878	
732	18	76.65218046303744	
754	22	77.2145140008806	
774	20	77.34496535306086	
793	19	77.86014782591862	
811	17	77.98679679626086	
833	22	78.3816292656005	
854	21	78.90168577688358	
875	21	78.98658763420137	
895	20	79.3749346343228	
911	16	79.76517905971646	
934	23	79.76426273961285	
955	21	79.98148741610993	
973	18	80.15317961208342	
993	20	80.19530729642845	
1011	18	80.45453071092453	
1035	23	80.45590626178542	
1055	20	80.67217565960837	
1076	21	80.80280026458915	
1094	18	80.84634035615662	
1114	20	80.93049763326192	
1132	18	80.93342745460005	
1152	19	81.02040507753088	
1173	21	81.19248241148794	
1193	20	81.27925249624016	
1214	20	81.27889297229203	
1240	26	81.36588358595692	
1255	15	81.32265583203069	
1274	19	81.36320949598394	
1294	20	81.32005290501593	
1314	20	81.32228140154449	
1332	18	81.32226004669812	
1354	22	81.36508099616734	
1375	21	81.40981359269081	
1391	16	81.32375828087234	
1415	23	81.23188582067458	
1434	18	81.1920703970633	
1454	20	81.10418098487999	
1474	20	81.19336511679363	
1495	20	81.15027674546442	
1515	20	81.32201790829137	
1535	20	81.36583550540679	
1554	19	81.32393832990267	
1572	17	81.36677214677223	
1593	21	81.32474132095196	
1613	20	81.36596208349309	
1635	21	81.45147987438516	
1656	21	81.45115693325455	
1675	19	81.45055949381158	
1692	17	81.67070935117191	
1717	25	81.75643248547311	
1735	18	81.58280110639645	
1752	16	81.58203462304054	
1774	21	81.58242910678638	
1793	19	81.58250217001711	
1814	21	81.66867607013931	
1838	24	81.6249486483086	
1852	14	81.67120619598839	
1873	21	81.71108265524609	
1897	23	81.71073400291523	
1915	17	81.66389341684231	
1937	22	81.71039565292317	
1953	16	81.7112126405378	
1977	23	81.7967343921539	
1993	16	81.70831583165683	
2014	21	81.66561167845451	
2044	29	81.58228633294753	
2056	12	81.66906321975242	
2074	18	81.58273304707885	
2092	18	81.53957021251452	
2113	21	81.53911596400798	
2134	21	81.450355762689	
2154	19	81.40858018825249	
2179	24	81.45020800637262	
2194	15	81.2763227699763	
2215	20	81.19149522953124	
2232	16	81.27687161544979	
2255	23	81.36422105056866	
2277	21	81.41002375742707	
2292	15	81.4045311662149	
2315	23	81.365718618931	
2332	17	81.45404975376755	
2355	22	81.45087242875064	
2374	19	81.44766621679977	
2393	19	81.49602170242498	
2413	20	81.67048734101476	
2431	18	81.66975830086362	
2453	21	81.88646191569048	
2477	23	82.05670340722233	
2491	13	82.056052500219	
2516	25	82.233975935315	
2534	18	82.23263156200996	
2551	17	82.3638107958526	
2571	20	82.40649272882584	
2596	24	82.44945208529994	
2613	17	82.4511167049977	
2636	23	82.49185891202913	
2651	15	82.53612357190754	
2673	22	82.40701835139753	
2696	23	82.40339893164274	
2716	20	82.40643632317246	
2733	17	82.22952739203375	
2755	20	82.1450201204845	
2776	21	82.18807650397484	
2794	18	82.09942173697667	
2815	21	82.14322242888228	
2836	21	82.14383819811253	
2854	18	82.14720184421664	
2877	23	82.19005108909005	
2895	18	82.23380490556819	
2916	21	82.18887347773719	
2932	16	82.18694382073949	
2955	23	82.10453878222319	
2975	19	82.19138307780067	
2992	16	82.18763738852972	
3020	28	82.1484688793617	
3032	12	82.1476824244974	
3052	19	82.14772213806461	
3073	21	82.10539011156834	
3095	20	82.10265647740188	
3112	17	82.09859347396254	
3133	21	82.05954095310337	
3154	21	82.10245930879013	
3174	19	82.14534704336496	
3195	21	82.18976971734325	
3211	16	82.14685930388313	
3234	23	82.14516281803829	
3251	17	82.1893197404913	
3276	23	82.14592587271862	
3294	18	82.14303784284485	
3316	22	82.18710986694946	
