StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
19	19	0.0	
25	6	0.0	
31	6	0.0	
44	13	0.6052905713304202	
66	21	0.6052923904642672	
84	18	1.1240389730988354	
103	19	2.550691937196591	
123	20	3.026338578139885	
145	22	5.187994883744602	
165	20	7.868516394177569	
183	18	7.868602389660739	
204	21	10.894581565358152	
225	21	14.180270352041271	
244	19	14.180373733446405	
265	20	17.68289060243685	
283	18	17.682914336241584	
303	20	20.060710497073593	
325	22	23.47519573301653	
346	21	23.47521754727669	
371	25	26.718984941643278	
385	14	27.49665144546179	
404	18	27.496835106326497	
423	18	28.793491873174034	
444	21	29.528997353666895	
467	22	29.960958332397777	
485	18	30.393650551318967	
506	21	30.912758424338353	
524	18	30.91088081957664	
545	21	31.345147699614422	
565	20	31.344494221296394	
588	23	31.604200361531802	
605	17	31.906841270556107	
625	19	31.906532879126846	
645	20	32.080019874479646	
665	20	32.12250575620772	
686	21	32.122701107427744	
708	22	32.2096611102991	
725	16	32.33939197203175	
746	21	32.340228843166436	
765	19	32.339676769546706	
784	19	32.381322599513034	
814	30	32.42567780635486	
825	10	32.5126416157503	
844	19	32.47001391902481	
863	19	32.38323970066673	
883	20	32.42593054626441	
906	23	32.42611158687974	
924	17	32.51293889387491	
947	23	32.59919849962176	
967	20	32.599271934750114	
985	18	32.55627191190391	
1003	18	32.59934932736717	
1024	21	32.555952065494985	
1046	22	32.642710406563765	
1064	17	32.64314747241494	
1085	21	32.59914396228836	
1107	21	32.64252467563945	
1124	17	32.64195709227393	
1144	20	32.68611235126991	
1165	21	32.64266321345917	
1183	17	32.64223979215509	
1206	23	32.686073283126156	
1222	16	32.64258974375904	
1244	21	32.6857550208042	
1264	20	32.72907889478841	
1283	19	32.72938800715106	
1306	23	32.64243625201227	
1323	17	32.729005902793936	
1344	21	32.72919144394001	
1366	22	32.685657728917214	
1382	16	32.72913803084589	
1405	23	32.72796406750725	
1424	19	32.72930985381643	
1442	18	32.64274610799197	
1463	20	32.64292320856593	
1485	22	32.68564789852555	
1503	18	32.64151802758421	
1525	21	32.642661425496456	
1543	18	32.64250345099191	
1566	23	32.64291842131787	
1583	17	32.60014834648824	
1604	21	32.68647765535028	
1624	20	32.68680705492088	
1643	19	32.55704497809656	
1666	23	32.643056773297424	
1683	17	32.60035532388515	
1705	22	32.64310072714258	
1725	20	32.64350051067587	
1742	16	32.6436685791586	
1764	21	32.64347858292978	
1786	22	32.643678423003806	
1803	17	32.68666833997833	
1825	21	32.59993827704972	
1844	19	32.60024082600387	
1865	20	32.60037640797911	
1884	19	32.60017235863658	
1906	22	32.600244433198235	
1926	19	32.643150433355885	
1943	17	32.643796384433614	
1964	21	32.60027211493679	
1984	20	32.556409163559195	
2005	21	32.51371281045532	
2022	15	32.51373907196481	
2045	22	32.470627787818415	
2062	16	32.42705237052231	
2084	22	32.55686752946083	
2103	19	32.55659202590035	
2125	22	32.55724819142506	
2143	18	32.556556418455976	
2162	19	32.51321370097428	
2182	20	32.513704944490264	
2204	22	32.47006956652258	
2224	20	32.55672549945481	
2242	17	32.51381208222954	
2265	23	32.51398758408734	
2287	22	32.51387879965667	
2303	16	32.5569490162354	
2322	19	32.470602924627066	
2343	21	32.427457730140745	
2362	18	32.42641447942042	
2383	21	32.4265428760427	
2402	18	32.427049016143165	
2425	22	32.42675529975717	
2444	19	32.383912994517225	
2462	18	32.38277011240067	
2484	21	32.383665198445094	
2503	19	32.42717742336513	
2523	20	32.42725201117966	
2543	19	32.34068080502182	
2564	21	32.340551191248224	
2582	18	32.38316616085688	
2603	20	32.297362755200055	
2625	22	32.29588526317841	
2645	20	32.383900095995315	
2663	14	32.25383178262088	
2685	21	32.25382104288894	
2704	19	32.25383822487943	
2724	20	32.16774056196963	
2746	22	32.16777266010658	
2765	19	32.25395939647262	
2783	17	32.2533626517349	
2806	23	32.253698003768385	
2824	17	32.25397172639334	
2844	20	32.25400454794893	
2865	21	32.297162638490704	
2884	19	32.254182002709065	
2905	20	32.253685721202714	
2924	19	32.29723636087844	
2943	18	32.426194524074646	
2966	23	32.42673401520316	
2986	20	32.42630942264592	
3004	18	32.38306134362156	
3023	19	32.38349357434296	
3044	21	32.47028777751083	
3064	19	32.469944899692	
3084	20	32.425648624518736	
3102	18	32.340558055406845	
3122	20	32.34040200520573	
3143	21	32.427047968778574	
3163	20	32.340268616491585	
3190	27	32.29722772826713	
3204	14	32.34038536771507	
3223	19	32.33962141353719	
3244	20	32.297018076926356	
3263	19	32.25388613698106	
3285	22	32.29597392436793	
3303	18	32.2108154036437	
3325	21	32.16731843222971	
3343	17	32.21024045399742	
3364	20	32.2542907819478	
3386	22	32.21070069813246	
3403	16	32.210632767292616	
3426	23	32.29757749846986	
3444	18	32.29715524987154	
3464	20	32.29675983950344	
3485	21	32.340411392051244	
3505	19	32.29665132851956	
3523	18	32.29649504299635	
3544	21	32.34032164352935	
3562	18	32.383159210595245	
3584	22	32.38352033340458	
