StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
20	20	0.0	
32	12	0.04323689267039299	
42	10	0.3026577326402497	
57	14	0.34589503092819407	
71	13	1.0376430668645975	
84	13	2.1617012498356942	
108	23	3.2426251005401436	
126	18	4.669241738696724	
147	21	6.225763383887297	
169	22	8.34417949040288	
186	17	13.575522436722025	
208	22	16.645288181624014	
224	15	20.319550614195958	
244	19	28.014490390868847	
265	20	31.128209886676498	
284	19	36.445429584157615	
306	21	44.87636541469793	
324	18	47.25417450402564	
345	20	53.22079368546519	
366	20	55.16522039364993	
390	24	61.26270049315666	
409	19	68.65438320428339	
428	19	69.34225478249388	
450	22	75.132086385953	
466	16	80.67209412988485	
485	19	80.67093081369534	
506	21	85.51411919731898	
525	19	90.05007823000507	
545	20	90.4437429280041	
567	22	94.16454309615692	
586	19	98.1399251033904	
610	24	98.61130451627184	
625	14	101.51128468066901	
646	21	102.11529157797612	
666	20	104.58126545453099	
690	24	107.13179140079787	
704	13	107.60750384552718	
725	20	109.38060394056482	
746	21	111.58705026557351	
769	23	112.05989959075727	
785	15	113.35666153699465	
806	21	114.99670730967098	
829	23	115.38860167620666	
846	17	116.51481921711614	
866	20	116.7711985690124	
891	25	117.54653111812678	
907	16	118.63715562127177	
930	23	118.93551101191393	
948	18	119.63057799804334	
968	20	120.4083341066824	
986	18	120.57224906856419	
1011	24	121.05344200083152	
1026	15	121.7050820762262	
1045	19	121.83216622301804	
1066	21	122.2630098659184	
1089	23	122.56636659402247	
1109	20	122.74114145547587	
1126	17	123.30113744751986	
1147	21	123.39097793062147	
1166	19	123.82098930993943	
1186	20	124.38288273486256	
1209	22	124.60187958305843	
1229	20	124.82004891854234	
1245	16	125.25383423413531	
1270	25	125.51260146629348	
1289	18	125.67908544700384	
1305	16	126.07338870149836	
1329	24	126.42050507002295	
1348	19	126.45942209123841	
1368	20	126.67599163583847	
1385	16	126.76640324677558	
1405	20	126.85113260307841	
1426	21	126.76425053245029	
1446	20	126.85335643038952	
1466	20	127.02558023054877	
1485	19	126.9835678044054	
1504	18	127.06983315963096	
1526	22	127.06961352632159	
1549	23	126.93594560448854	
1568	19	127.11378475039153	
1586	18	127.23785531114521	
1605	19	127.06453293472799	
1628	23	127.19818713860603	
1646	18	127.24187325806513	
1669	23	127.54295182713676	
1685	16	127.93215441569431	
1705	20	127.93204195488704	
1726	20	128.3645226825263	
1749	23	128.75062058270333	
1767	18	128.75123110995924	
1790	23	128.97117620511762	
1805	15	129.0989230443828	
1826	21	129.1430077554003	
1846	20	129.2268078822639	
1866	20	129.27126774191584	
1894	28	129.40324823751067	
1908	13	129.27264045551658	
1926	18	129.31515531044872	
1945	19	129.18521771173954	
1967	22	129.0144074827007	
1988	21	129.01299975924832	
2006	18	128.79722253457544	
2026	20	128.8382662764247	
2049	22	128.92088579603504	
2065	16	128.924368208479	
2086	21	128.83751838205288	
2110	24	128.83164568380252	
2125	15	128.83490526129347	
2147	21	128.87855389770834	
2164	17	128.96563354460028	
2185	20	129.01245071203894	
2206	20	129.00797533478934	
2226	20	129.09165092352868	
2249	23	129.31336769061133	
2264	14	129.3548264930087	
2288	23	129.35032303294696	
2306	18	129.35658509864527	
2325	19	129.35614074311528	
2345	19	129.48048337089043	
2365	20	129.52831576955012	
2386	21	129.6555188409386	
2406	20	129.7004537084039	
2429	23	129.70137598455025	
2446	17	129.70223181522306	
2467	21	129.61460702446854	
2485	18	129.6137093086911	
2506	21	129.5641844073214	
2526	20	129.56246953034585	
2546	20	129.5671966547991	
2568	22	129.60868546354382	
2586	18	129.61015927644803	
2607	21	129.56569158376175	
2629	22	129.4354200403499	
2646	17	129.47571337672161	
2664	18	129.53353806595945	
2684	20	129.65217834459395	
2708	24	129.61016415587795	
2729	20	129.78496843002037	
2745	16	129.8303030223768	
2767	22	129.82483161543223	
2784	17	129.86952446573721	
2805	21	129.9518214112394	
2825	20	129.95843849268434	
2845	19	130.12935136864857	
2866	21	130.12706258105806	
2889	23	130.21429802696292	
2906	17	130.21664500089895	
2929	23	130.2152345097048	
2946	17	130.1284165542441	
2968	22	129.95670499570755	
2986	18	129.95709567261352	
3009	23	129.91330071481602	
3025	15	129.96063090330796	
3046	21	130.0472290375745	
3068	21	129.95720008667212	
3084	16	129.7778035518031	
3109	25	129.83170543756444	
3129	20	129.78041214332814	
3151	22	129.7900094722364	
3167	16	129.65236808166154	
3185	18	129.52442777271472	
3210	25	129.52336542293602	
3228	18	129.47983273307258	
3248	20	129.39984982296608	
3265	17	129.39523341154265	
3286	21	129.26977253378192	
3305	19	129.14055252384702	
