StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
22	22	0.04323689267039299	
31	9	0.043236892670393	
38	7	0.34589390313218155	
45	7	0.3891166078892001	
67	21	0.9511974964500427	
84	17	1.3403092506335061	
103	19	2.118478504041123	
123	20	4.107125770131275	
145	22	5.663561629805132	
167	22	8.12750620066358	
185	17	11.369973380469446	
205	20	12.925964241164486	
225	20	16.8161198656496	
246	21	23.69115679903976	
264	18	26.413684855679403	
284	20	32.0768728548363	
303	19	40.59220105982207	
324	21	43.14481776320392	
344	20	49.669835531317176	
367	22	52.0912657258374	
385	18	60.82189079621015	
405	20	67.57014616814455	
426	21	69.64435609571053	
445	19	75.78292044448725	
464	18	83.5252484306401	
485	21	86.97941059485906	
506	20	92.21189609242926	
525	19	96.14596386133246	
545	20	97.18312299316835	
563	18	101.29008753208672	
582	19	102.33405397294723	
603	20	106.09171175117217	
624	20	110.28791363757713	
644	20	111.19779216664236	
664	20	113.96177342543113	
684	19	117.33220705673207	
705	21	118.66639436033847	
724	19	119.96972086814975	
744	20	122.13536907936923	
763	19	122.78016498008174	
783	19	124.20483005241721	
804	21	125.88910423650681	
825	21	126.15803843530365	
847	22	127.23780363577741	
864	16	127.70862445048982	
886	22	128.8810539326565	
909	23	129.5285972365877	
924	15	129.91730520546065	
944	20	130.51925483774508	
963	19	131.5629711032059	
984	20	132.16610527322376	
1004	20	132.68247500708196	
1024	19	133.59501143509763	
1046	22	133.85517867816378	
1064	18	134.45829030782477	
1088	24	134.7203974328357	
1104	16	135.28309615871092	
1124	20	136.01622265387033	
1148	24	136.45061087778393	
1171	23	137.00431278986636	
1196	24	137.65206274113436	
1237	41	138.09070011222886	
1257	19	138.4347989001512	
1282	24	138.78074113144535	
1292	10	138.77996091631195	
1297	5	138.91761349615498	
1304	7	139.04224907961313	
1324	20	138.95575124265707	
1344	20	139.33591722613482	
1365	21	139.38608055960972	
1385	20	139.5579327001348	
1405	20	139.6846130962532	
1425	20	139.51132424702217	
1444	19	139.9030496420698	
1463	19	140.55378050543897	
1482	19	140.64067576980136	
1504	21	140.97920413934972	
1523	19	141.54076922973408	
1544	21	141.59154181644632	
1562	18	141.8954261848406	
1582	19	141.8877915675523	
1603	20	142.1530847766585	
1623	19	142.37063418584071	
1644	21	142.41202810865767	
1664	20	142.67132148283864	
1684	20	142.67417704675557	
1702	18	142.75248220371085	
1725	23	142.67285156182706	
1742	16	142.54155329162887	
1762	20	142.62539296236224	
1784	22	142.44967832091078	
1804	20	142.4997931572596	
1824	20	142.58704070765924	
1843	19	142.63026658945134	
1865	21	142.71512161638688	
1885	20	142.75910609115658	
1905	20	142.80303077292433	
1925	19	142.93017274529382	
1945	20	143.1479903467269	
1964	19	143.14613096290321	
1984	20	143.19349545231267	
2003	19	143.3623030800658	
2028	24	143.44694098876312	
2042	14	143.4890221051068	
2063	20	143.61426802506776	
2083	20	143.6625706659232	
2103	20	143.7031040522072	
2123	20	143.83303153310837	
2144	21	143.87992256917246	
2164	20	143.92109417147975	
2184	20	143.97176584308255	
2203	19	143.96553022727517	
2225	22	143.87910942580626	
2244	19	143.9687924964674	
2263	19	143.9681819894076	
2284	20	143.97128743584045	
2303	18	144.01607511177988	
2325	21	144.05122563938073	
2345	20	144.10181407323324	
2364	19	144.14565702080216	
2383	19	144.14548489181834	
2404	20	144.234140355834	
2424	20	144.22244421086234	
2443	19	144.3584961555807	
2464	20	144.4886749538931	
2485	21	144.49211492211657	
2506	21	144.490278629608	
2524	18	144.53295248656383	
2544	20	144.5768403127765	
2564	20	144.57090133707516	
2583	18	144.53087550231564	
2603	20	144.53594716875324	
2624	20	144.39698124136822	
2644	20	144.40042824764038	
2664	20	144.31520698058452	
2684	20	144.23032456245232	
2704	20	144.2190218982708	
2725	21	144.1417178834969	
2742	17	144.18266444373364	
2766	24	144.2717023221903	
2785	19	144.2716933847393	
2803	18	144.22645309209832	
2827	24	144.26796215467098	
2844	17	144.22358404065142	
2864	20	144.27113528007638	
