StartDeltaMS	LastScanDeltaMS	Velocity	
0	0	0.0	
15	15	0.0	
28	13	0.0	
34	6	0.0	
52	18	0.38913040447743874	
71	18	1.297067673375433	
91	20	1.5996764769905256	
111	19	3.112881803112985	
131	19	4.928087426211437	
153	22	5.663331201398051	
173	20	9.164931795044582	
192	19	12.536625069786322	
212	19	13.87706387152973	
233	21	18.155879900751042	
251	18	19.66951492685045	
272	20	26.67202686376026	
293	21	31.986937546638448	
310	17	33.97874524855147	
331	21	41.19971265251712	
351	19	46.732266469715874	
369	18	48.5494748629164	
390	21	55.46744358969803	
410	20	60.309034192121594	
430	20	61.779032412421486	
451	21	67.1843587489617	
472	21	70.63947730669237	
492	20	71.76506363358915	
512	19	74.53205324957584	
531	19	75.44200235152702	
552	21	78.51269398134629	
571	19	80.45580393888034	
592	20	80.975817894429	
610	18	83.26844092191944	
630	20	84.64972207944456	
650	20	84.99568542323426	
671	21	86.46566359336651	
692	21	87.50443721499667	
711	19	87.80879528623467	
732	20	88.7599714976967	
752	20	89.06028670484471	
772	20	90.01382589035046	
791	19	90.74798632996317	
812	21	90.96427001372608	
832	20	91.83019191936133	
851	19	92.34850937285675	
873	21	92.52192005159802	
892	19	93.2516564932733	
912	20	93.72590398884269	
932	19	93.82005178389608	
950	18	94.2523300748585	
972	22	94.5526326446657	
991	18	94.55343180390831	
1011	20	94.89878984560248	
1031	20	94.94359685591097	
1051	20	95.28913465615932	
1071	19	95.54813603382007	
1091	19	95.5907138170112	
1111	20	95.89350197421204	
1129	18	96.02349003334805	
1153	23	95.98212605305613	
1175	22	96.239428266562	
1192	17	96.45239537697331	
1212	19	96.45323421428837	
1232	20	96.499789369241	
1252	20	96.54499061986411	
1273	21	96.62657672385595	
1291	18	96.63146175230955	
1310	18	96.58707451505782	
1332	21	96.53206694005458	
1357	25	96.45878475850864	
1370	13	96.45401900651129	
1393	23	96.49760460111067	
1410	17	96.45651769589061	
1434	24	96.45563903211865	
1451	17	96.54483050555015	
1472	21	96.62983004360785	
1492	19	96.67308422591799	
1510	18	96.75823715586732	
1530	20	96.75922322300215	
1552	21	96.84356771509955	
1572	20	96.93140996188414	
1592	20	96.97458623664511	
1614	22	97.14897909795988	
1631	17	97.18968621691153	
1651	20	97.19054924052587	
1672	21	97.2770383376872	
1691	19	97.2791461332674	
1710	19	97.23412082332926	
1732	21	97.36145823189162	
1750	18	97.32135054126718	
1771	21	97.27717760724595	
1790	19	97.27652155211105	
1812	22	97.23300412000559	
1831	18	97.19315036487974	
1850	18	97.23436110574009	
1870	20	97.23383569412059	
1894	24	97.1470930793821	
1911	17	97.19195657289075	
1930	19	97.19224814351975	
1951	20	97.1471002826796	
1971	20	96.96983170722524	
1993	22	97.06203348708316	
2011	18	97.0608101675955	
2030	19	97.10606854039264	
2050	20	97.19309172220053	
2072	22	97.14797636501388	
2093	21	97.15062155116317	
2110	17	97.15030005176392	
2131	21	97.28013749924791	
2151	20	97.36681364490896	
2171	20	97.45145357730543	
2191	20	97.62502772414936	
2212	20	97.71039397980711	
2232	20	97.83724168621391	
2252	20	97.88486483957034	
2270	18	98.01439615447562	
2290	19	98.05739351286414	
2312	22	98.14520256882321	
2331	18	98.31907088023678	
2352	20	98.27285165943353	
2373	21	98.27475598134794	
2394	21	98.3161849821831	
2412	18	98.27385311286724	
2430	17	98.23053045021297	
2453	23	98.10075974718212	
2471	17	98.1858327433372	
2495	24	98.05711945849959	
2510	14	98.0155297889837	
2532	21	97.9698116223581	
2551	19	97.97126746569508	
2572	21	97.92803746218802	
2594	22	97.88573264275564	
2612	18	97.97370088049601	
2632	20	97.84107895722673	
2652	20	97.8424118377218	
2670	18	97.88411085010979	
2691	21	97.88435505553996	
2715	24	97.92667238929296	
2730	15	97.79776989538678	
2753	23	97.7541963923891	
2771	18	97.8422294205621	
2791	20	97.79808881422579	
2812	20	97.79794278806001	
2832	20	97.92622860506933	
2850	18	97.92728359125476	
2872	22	97.92756479141495	
2891	19	98.10118793044057	
2914	23	98.10094179191695	
2930	16	98.18651001788552	
2954	24	98.18248383485303	
2972	18	98.14353834146789	
2990	18	98.1843437508142	
3010	20	98.1447044829991	
3031	21	98.14266067725097	
3050	19	98.18413896384642	
3072	22	98.1418864875639	
3091	19	98.10084107582729	
3114	23	98.05826697844927	
3132	18	98.09983293867101	
3150	18	98.01456877362203	
3172	22	97.92697333966241	
3193	21	97.96954930166177	
3212	19	97.96703573497811	
3230	18	97.96841314559283	
3251	21	97.96824904223989	
3271	20	98.09798695669933	
3292	21	98.0990659479201	
3314	22	98.09682894772183	
3333	19	98.05663652040917	
3350	16	98.05598010088877	
3371	21	98.05803298913521	
3391	19	97.92844131308932	
3414	23	97.92529535377231	
3431	17	97.92675352242638	
3451	20	97.840608944497	
3471	19	97.92874822926932	
3489	18	97.92513640889571	
3511	20	97.97214150479387	
3529	18	97.88431323642224	
3550	21	97.97029299200312	
3570	19	98.05830910989683	
3592	22	98.0580397268713	
3612	19	98.09667097228608	
3630	18	98.18391517731108	
3651	21	98.18323172780644	
3672	19	98.22734707526726	
3690	18	98.3132556948649	
3712	22	98.27245151859348	
3730	18	98.22822113164347	
3750	20	98.2721745377227	
3774	24	98.27080880411037	
3791	17	98.14221126465914	
3811	20	98.14241406835706	
3830	19	98.05471896224905	
3850	20	97.96890301658757	
3871	21	97.9697445473436	
3892	21	97.96833433109173	
3911	19	97.92552127200416	
3932	21	97.88371519686171	
3950	18	97.92596228860195	
3972	22	98.01326703999243	
3991	19	97.97019528473348	
4010	18	98.05554676655126	
4031	21	98.0126141118181	
4053	22	97.92503444866098	
4071	18	97.96551963048665	
4092	21	98.00888044204598	
4113	21	98.01212876056621	
4132	19	97.97020578832249	
4152	19	97.96896595028171	
4172	20	97.84125332977412	
4191	19	97.66653702323352	
4210	19	97.66729785857538	
4232	22	97.49327141589377	
4251	19	97.45066324480949	
4269	18	97.32257208513002	
4290	21	97.27807750658486	
4310	20	97.27923599771462	
4332	22	97.23438360306888	
4354	21	97.30723144806636	
4370	16	97.27813535041355	
4390	20	97.23362428922948	
4414	23	97.36392270556911	
4430	16	97.40683702334836	
4452	22	97.49279034518504	
4474	22	97.62170923960369	
4490	15	97.62268808749734	
4511	20	97.6250617472919	
4530	19	97.62260904134115	
4551	21	97.57970164862066	
4573	22	97.57922159748864	
4590	16	97.58126930769865	
4612	22	97.58036225544794	
4632	19	97.53580451042365	
4653	21	97.5368716048949	
4671	17	97.40654243331285	
4690	19	97.27616669551543	
4711	20	97.27423446488253	
4732	20	97.2335993315388	
4754	22	97.32339164754607	
4781	27	97.40471384813173	
4805	24	97.36424120586152	
